年度,リーグ,ステージ,試合No,日付,時間,チーム名,選手名,スコア,着順,試合,得点,選手ID
2023,単一リーグ,レギュラー,119,2023/7/25,22:00,SSブルーバーズ,ハナノア,10.5,2,第2試合,30500,P0158
2023,単一リーグ,レギュラー,119,2023/7/25,22:00,TEAMS Rabbit_Yohan,ひぽきよし,-61.1,4,第2試合,-1100,P0162
2023,単一リーグ,レギュラー,119,2023/7/25,22:00,クレイジーダイヤモンド,クピドの悪戯,66.5,1,第2試合,46500,P0099
2023,単一リーグ,レギュラー,120,2023/7/25,22:00,最強位ズ,ブ茶ラティ,68.6,1,第2試合,48600,P0171
2023,単一リーグ,レギュラー,120,2023/7/25,22:00,星の砂 Stardust Collectors,店長倍損の上司,-51.1,4,第2試合,8900,P0302
2023,単一リーグ,レギュラー,120,2023/7/25,22:00,さわやかMJ野郎の会,黒太郎@SMY会,2.6,2,第2試合,22600,P0260
2023,単一リーグ,レギュラー,120,2023/7/25,22:00,レッドリボン軍,レッドスター,-20.1,3,第2試合,19900,P0220
2023,単一リーグ,レギュラー,121,2023/7/27,21:00,最強位ズ,リョータ,7.3,2,第1試合,27300,P0217
2023,単一リーグ,レギュラー,121,2023/7/27,21:00,SILVER WOLVES,まーくん RMU,-18,3,第1試合,22000,P0184
2023,単一リーグ,レギュラー,121,2023/7/27,21:00,関西麻雀保安協会,玉緒,49.4,1,第1試合,29400,P0251
2023,単一リーグ,レギュラー,121,2023/7/27,21:00,星の砂 Stardust Collectors,PPPするぞ★,-38.7,4,第1試合,21300,P0050
2023,単一リーグ,レギュラー,122,2023/7/27,21:00,さわやかMJ野郎の会,海賊王,-15.3,3,第1試合,24700,P0238
2023,単一リーグ,レギュラー,122,2023/7/27,21:00,クレイジーダイヤモンド,クピドの悪戯,-51.8,4,第1試合,8200,P0099
2023,単一リーグ,レギュラー,122,2023/7/27,21:00,レッドリボン軍,レッド総帥,11.8,2,第1試合,31800,P0221
2023,単一リーグ,レギュラー,122,2023/7/27,21:00,SSブルーバーズ,桃瀬古都,55.3,1,第1試合,35300,P0305
2023,単一リーグ,レギュラー,123,2023/7/27,22:00,最強位ズ,まびたん,-22.2,3,第2試合,17800,P0187
2023,単一リーグ,レギュラー,123,2023/7/27,22:00,SILVER WOLVES,上野あいみ,0.5,2,第2試合,20500,P0279
2023,単一リーグ,レギュラー,123,2023/7/27,22:00,関西麻雀保安協会,おじょう,-51.3,4,第2試合,8700,P0083
2023,単一リーグ,レギュラー,123,2023/7/27,22:00,星の砂 Stardust Collectors,全速ゆーへい,73,1,第2試合,53000,P0291
2023,単一リーグ,レギュラー,124,2023/7/27,22:00,さわやかMJ野郎の会,Blue-K18,-25.8,3,第2試合,14200,P0018
2023,単一リーグ,レギュラー,124,2023/7/27,22:00,クレイジーダイヤモンド,アスラン,72.5,1,第2試合,52500,P0068
2023,単一リーグ,レギュラー,124,2023/7/27,22:00,レッドリボン軍,まさるさん,-47.5,4,第2試合,12500,P0185
2023,単一リーグ,レギュラー,124,2023/7/27,22:00,SSブルーバーズ,＠みち,0.8,2,第2試合,20800,P0004
2023,単一リーグ,レギュラー,125,2023/7/28,21:00,たちこまーず,班長,11.2,2,第1試合,31200,P0308
2023,単一リーグ,レギュラー,125,2023/7/28,21:00,SILVER WOLVES,川端由紀　＠最,-65.4,4,第1試合,-5400,P0289
2023,単一リーグ,レギュラー,125,2023/7/28,21:00,関西麻雀保安協会,えりんぼパパ,-17,3,第1試合,23000,P0077
2023,単一リーグ,レギュラー,125,2023/7/28,21:00,SSブルーバーズ,サヴェ,71.2,1,第1試合,51200,P0107
2023,単一リーグ,レギュラー,126,2023/7/28,21:00,最強位ズ,ミズゴロウ♂,53.9,1,第1試合,33900,P0193
2023,単一リーグ,レギュラー,126,2023/7/28,21:00,レッドリボン軍,TOSH,-45.7,4,第1試合,14300,P0058
2023,単一リーグ,レギュラー,126,2023/7/28,21:00,クレイジーダイヤモンド,太郎,-18.4,3,第1試合,21600,P0294
2023,単一リーグ,レギュラー,126,2023/7/28,21:00,星の砂 Stardust Collectors,☆けーすけ☆,10.2,2,第1試合,30200,P0008
2023,単一リーグ,レギュラー,127,2023/7/28,22:00,たちこまーず,よつば@tobi89,24.4,2,第2試合,44400,P0211
2023,単一リーグ,レギュラー,127,2023/7/28,22:00,SILVER WOLVES,あいだなつ,-65.5,4,第2試合,-5500,P0066
2023,単一リーグ,レギュラー,127,2023/7/28,22:00,関西麻雀保安協会,石川安牌,-34.6,3,第2試合,5400,P0284
2023,単一リーグ,レギュラー,127,2023/7/28,22:00,SSブルーバーズ,5296,75.7,1,第2試合,55700,P0014
2023,単一リーグ,レギュラー,128,2023/7/28,22:00,最強位ズ,ダイゴ,-44.5,4,第2試合,15500,P0130
2023,単一リーグ,レギュラー,128,2023/7/28,22:00,レッドリボン軍,マリア-style,60.1,1,第2試合,40100,P0189
2023,単一リーグ,レギュラー,128,2023/7/28,22:00,クレイジーダイヤモンド,大明槓嶺上開花,-21.5,3,第2試合,18500,P0297
2023,単一リーグ,レギュラー,128,2023/7/28,22:00,星の砂 Stardust Collectors,久田賢太（最）,5.9,2,第2試合,25900,P0243
2023,単一リーグ,レギュラー,129,2023/7/31,21:00,たちこまーず,としや,7.5,2,第1試合,27500,P0142
2023,単一リーグ,レギュラー,129,2023/7/31,21:00,TEAMS Rabbit_Yohan,うわぁーん,-38.4,4,第1試合,21600,P0073
2023,単一リーグ,レギュラー,129,2023/7/31,21:00,関西麻雀保安協会,玉緒,48.6,1,第1試合,28600,P0251
2023,単一リーグ,レギュラー,129,2023/7/31,21:00,星の砂 Stardust Collectors,鞘,-17.7,3,第1試合,22300,P0278
2023,単一リーグ,レギュラー,130,2023/7/31,21:00,最強位ズ,Hiromu,57,1,第1試合,37000,P0030
2023,単一リーグ,レギュラー,130,2023/7/31,21:00,SILVER WOLVES,阿賀寿直,-21.4,3,第1試合,18600,P0228
2023,単一リーグ,レギュラー,130,2023/7/31,21:00,レッドリボン軍,かじ,-51.7,4,第1試合,8300,P0090
2023,単一リーグ,レギュラー,130,2023/7/31,21:00,SSブルーバーズ,おむ,16.1,2,第1試合,36100,P0086
2023,単一リーグ,レギュラー,131,2023/7/31,22:00,たちこまーず,きさささ,10.5,2,第2試合,30500,P0094
2023,単一リーグ,レギュラー,131,2023/7/31,22:00,TEAMS Rabbit_Yohan,HAGI,64.9,1,第2試合,44900,P0028
2023,単一リーグ,レギュラー,131,2023/7/31,22:00,関西麻雀保安協会,ばね。,-52,4,第2試合,8000,P0160
2023,単一リーグ,レギュラー,131,2023/7/31,22:00,星の砂 Stardust Collectors,久田賢太（最）,-23.4,3,第2試合,16600,P0243
2023,単一リーグ,レギュラー,132,2023/7/31,22:00,最強位ズ,まびたん,81.3,1,第2試合,61300,P0187
2023,単一リーグ,レギュラー,132,2023/7/31,22:00,SILVER WOLVES,石川和男npm,8.6,2,第2試合,28600,P0285
2023,単一リーグ,レギュラー,132,2023/7/31,22:00,レッドリボン軍,TOSH,-57.2,4,第2試合,2800,P0058
2023,単一リーグ,レギュラー,132,2023/7/31,22:00,SSブルーバーズ,Hara,-32.7,3,第2試合,7300,P0029
2023,単一リーグ,レギュラー,133,2023/8/1,21:00,たちこまーず,きさささ,-18.4,3,第1試合,21600,P0094
2023,単一リーグ,レギュラー,133,2023/8/1,21:00,クレイジーダイヤモンド,太郎,10.8,2,第1試合,30800,P0294
2023,単一リーグ,レギュラー,133,2023/8/1,21:00,SILVER WOLVES,松崎真也＠協会,-45.3,4,第1試合,14700,P0276
2023,単一リーグ,レギュラー,133,2023/8/1,21:00,レッドリボン軍,ブリトニー,52.9,1,第1試合,32900,P0169
2023,単一リーグ,レギュラー,134,2023/8/1,21:00,最強位ズ,ねこます,8.1,2,第1試合,28100,P0155
2023,単一リーグ,レギュラー,134,2023/8/1,21:00,関西麻雀保安協会,えりんぼパパ,67.9,1,第1試合,47900,P0077
2023,単一リーグ,レギュラー,134,2023/8/1,21:00,TEAMS Rabbit_Yohan,零王,-63.8,4,第1試合,-3800,P0322
2023,単一リーグ,レギュラー,134,2023/8/1,21:00,星の砂 Stardust Collectors,☆けーすけ☆,-12.2,3,第1試合,27800,P0008
2023,単一リーグ,レギュラー,135,2023/8/1,22:00,たちこまーず,はち,8.7,2,第2試合,28700,P0157
2023,単一リーグ,レギュラー,135,2023/8/1,22:00,クレイジーダイヤモンド,アスラン,57,1,第2試合,37000,P0068
2023,単一リーグ,レギュラー,135,2023/8/1,22:00,SILVER WOLVES,石川和男npm,-18.4,3,第2試合,21600,P0285
2023,単一リーグ,レギュラー,135,2023/8/1,22:00,レッドリボン軍,マリア-style,-47.3,4,第2試合,12700,P0189
2023,単一リーグ,レギュラー,136,2023/8/1,22:00,最強位ズ,ブ茶ラティ,-55.1,4,第2試合,4900,P0171
2023,単一リーグ,レギュラー,136,2023/8/1,22:00,関西麻雀保安協会,玉緒,-26.5,3,第2試合,13500,P0251
2023,単一リーグ,レギュラー,136,2023/8/1,22:00,TEAMS Rabbit_Yohan,とらちゃん,0.6,2,第2試合,20600,P0147
2023,単一リーグ,レギュラー,136,2023/8/1,22:00,星の砂 Stardust Collectors,全速ゆーへい,81,1,第2試合,61000,P0291
2023,単一リーグ,レギュラー,137,2023/8/3,21:00,最強位ズ,ねこます,74.6,1,第1試合,54600,P0155
2023,単一リーグ,レギュラー,137,2023/8/3,21:00,関西麻雀保安協会,えりんぼパパ,23.6,2,第1試合,43600,P0077
2023,単一リーグ,レギュラー,137,2023/8/3,21:00,さわやかMJ野郎の会,はなびん,-79,4,第1試合,-19000,P0159
2023,単一リーグ,レギュラー,137,2023/8/3,21:00,SSブルーバーズ,サヴェ,-19.2,3,第1試合,20800,P0107
2023,単一リーグ,レギュラー,138,2023/8/3,21:00,TEAMS Rabbit_Yohan,ま〜ぢゃん,-45.9,4,第1試合,14100,P0183
2023,単一リーグ,レギュラー,138,2023/8/3,21:00,星の砂 Stardust Collectors,鞘,51.3,1,第1試合,31300,P0278
2023,単一リーグ,レギュラー,138,2023/8/3,21:00,SILVER WOLVES,石川和男npm,-15.8,3,第1試合,24200,P0285
2023,単一リーグ,レギュラー,138,2023/8/3,21:00,レッドリボン軍,めいあおいトト,10.4,2,第1試合,30400,P0197
2023,単一リーグ,レギュラー,139,2023/8/3,22:00,最強位ズ,リョータ,-70.9,4,第2試合,-10900,P0217
2023,単一リーグ,レギュラー,139,2023/8/3,22:00,関西麻雀保安協会,玉緒,11.9,2,第2試合,31900,P0251
2023,単一リーグ,レギュラー,139,2023/8/3,22:00,さわやかMJ野郎の会,Blue-K18,-22.3,3,第2試合,17700,P0018
2023,単一リーグ,レギュラー,139,2023/8/3,22:00,SSブルーバーズ,＠みち,81.3,1,第2試合,61300,P0004
2023,単一リーグ,レギュラー,140,2023/8/3,22:00,TEAMS Rabbit_Yohan,ひぽきよし,68.6,1,第2試合,48600,P0162
2023,単一リーグ,レギュラー,140,2023/8/3,22:00,星の砂 Stardust Collectors,久田賢太（最）,16.9,2,第2試合,36900,P0243
2023,単一リーグ,レギュラー,140,2023/8/3,22:00,SILVER WOLVES,あいだなつ,-28.8,3,第2試合,11200,P0066
2023,単一リーグ,レギュラー,140,2023/8/3,22:00,レッドリボン軍,レッド総帥,-56.7,4,第2試合,3300,P0221
2023,単一リーグ,レギュラー,141,2023/8/4,21:00,最強位ズ,Hiromu,-47.2,4,第1試合,12800,P0030
2023,単一リーグ,レギュラー,141,2023/8/4,21:00,星の砂 Stardust Collectors,店長倍損の上司,8.9,2,第1試合,28900,P0302
2023,単一リーグ,レギュラー,141,2023/8/4,21:00,関西麻雀保安協会,石川安牌,-17.5,3,第1試合,22500,P0284
2023,単一リーグ,レギュラー,141,2023/8/4,21:00,SILVER WOLVES,阿賀寿直,55.8,1,第1試合,35800,P0228
2023,単一リーグ,レギュラー,142,2023/8/4,21:00,さわやかMJ野郎の会,黙示録@SMY会,54.3,1,第1試合,34300,P0316
2023,単一リーグ,レギュラー,142,2023/8/4,21:00,レッドリボン軍,めいあおいトト,10.8,2,第1試合,30800,P0197
2023,単一リーグ,レギュラー,142,2023/8/4,21:00,TEAMS Rabbit_Yohan,(∵),-42.7,4,第1試合,17300,P0003
2023,単一リーグ,レギュラー,142,2023/8/4,21:00,クレイジーダイヤモンド,大明槓嶺上開花,-22.4,3,第1試合,17600,P0297
2023,単一リーグ,レギュラー,143,2023/8/4,22:00,最強位ズ,ねこます,-20.1,3,第2試合,19900,P0155
2023,単一リーグ,レギュラー,143,2023/8/4,22:00,星の砂 Stardust Collectors,久田賢太（最）,59,1,第2試合,39000,P0243
2023,単一リーグ,レギュラー,143,2023/8/4,22:00,関西麻雀保安協会,石川安牌,11.7,2,第2試合,31700,P0284
2023,単一リーグ,レギュラー,143,2023/8/4,22:00,SILVER WOLVES,上野あいみ,-50.6,4,第2試合,9400,P0279
2023,単一リーグ,レギュラー,144,2023/8/4,22:00,さわやかMJ野郎の会,黒太郎@SMY会,-53.7,4,第2試合,6300,P0260
2023,単一リーグ,レギュラー,144,2023/8/4,22:00,レッドリボン軍,レッド総帥,60.7,1,第2試合,40700,P0221
2023,単一リーグ,レギュラー,144,2023/8/4,22:00,TEAMS Rabbit_Yohan,MS,-25,3,第2試合,15000,P0043
2023,単一リーグ,レギュラー,144,2023/8/4,22:00,クレイジーダイヤモンド,大明槓嶺上開花,18,2,第2試合,38000,P0297
2023,単一リーグ,レギュラー,145,2023/8/7,21:00,たちこまーず,シクラメン富男,-15,3,第1試合,25000,P0113
2023,単一リーグ,レギュラー,145,2023/8/7,21:00,レッドリボン軍,yanase@RMU,-49.4,4,第1試合,10600,P0063
2023,単一リーグ,レギュラー,145,2023/8/7,21:00,SILVER WOLVES,阿賀寿直,10.8,2,第1試合,30800,P0228
2023,単一リーグ,レギュラー,145,2023/8/7,21:00,クレイジーダイヤモンド,太郎,53.6,1,第1試合,33600,P0294
2023,単一リーグ,レギュラー,146,2023/8/7,21:00,最強位ズ,ねこます,-0.9,2,第1試合,19100,P0155
2023,単一リーグ,レギュラー,146,2023/8/7,21:00,SSブルーバーズ,Hara,-23.5,3,第1試合,16500,P0029
2023,単一リーグ,レギュラー,146,2023/8/7,21:00,さわやかMJ野郎の会,黙示録@SMY会,70.7,1,第1試合,50700,P0316
2023,単一リーグ,レギュラー,146,2023/8/7,21:00,星の砂 Stardust Collectors,PPPするぞ★,-46.3,4,第1試合,13700,P0050
2023,単一リーグ,レギュラー,147,2023/8/7,22:00,たちこまーず,よつば@tobi89,-43.2,4,第2試合,16800,P0211
2023,単一リーグ,レギュラー,147,2023/8/7,22:00,レッドリボン軍,小倉唯,1.6,2,第2試合,21600,P0273
2023,単一リーグ,レギュラー,147,2023/8/7,22:00,SILVER WOLVES,まーくん RMU,63.3,1,第2試合,43300,P0184
2023,単一リーグ,レギュラー,147,2023/8/7,22:00,クレイジーダイヤモンド,太郎,-21.7,3,第2試合,18300,P0294
2023,単一リーグ,レギュラー,148,2023/8/7,22:00,最強位ズ,ブ茶ラティ,-61.5,4,第2試合,-1500,P0171
2023,単一リーグ,レギュラー,148,2023/8/7,22:00,SSブルーバーズ,ハナノア,11.2,2,第2試合,31200,P0158
2023,単一リーグ,レギュラー,148,2023/8/7,22:00,さわやかMJ野郎の会,小麦さん,-14.1,3,第2試合,25900,P0274
2023,単一リーグ,レギュラー,148,2023/8/7,22:00,星の砂 Stardust Collectors,全速ゆーへい,64.4,1,第2試合,44400,P0291
2023,単一リーグ,レギュラー,149,2023/8/8,21:00,たちこまーず,たちこま,73.6,1,第1試合,53600,P0134
2023,単一リーグ,レギュラー,149,2023/8/8,21:00,SSブルーバーズ,ハナノア,13.7,2,第1試合,33700,P0158
2023,単一リーグ,レギュラー,149,2023/8/8,21:00,最強位ズ,まびたん,-27.4,3,第1試合,12600,P0187
2023,単一リーグ,レギュラー,149,2023/8/8,21:00,星の砂 Stardust Collectors,☆けーすけ☆,-59.9,4,第1試合,100,P0008
2023,単一リーグ,レギュラー,150,2023/8/8,21:00,関西麻雀保安協会,石川安牌,73.3,1,第1試合,53300,P0284
2023,単一リーグ,レギュラー,150,2023/8/8,21:00,SILVER WOLVES,川端由紀　＠最,-54.7,4,第1試合,5300,P0289
2023,単一リーグ,レギュラー,150,2023/8/8,21:00,さわやかMJ野郎の会,海賊王,-32.5,3,第1試合,7500,P0238
2023,単一リーグ,レギュラー,150,2023/8/8,21:00,レッドリボン軍,ブリトニー,13.9,2,第1試合,33900,P0169
2023,単一リーグ,レギュラー,151,2023/8/8,22:00,たちこまーず,はち,-28.4,3,第2試合,11600,P0157
2023,単一リーグ,レギュラー,151,2023/8/8,22:00,SSブルーバーズ,5296,77.4,1,第2試合,57400,P0014
2023,単一リーグ,レギュラー,151,2023/8/8,22:00,最強位ズ,ダイゴ,-63.5,4,第2試合,-3500,P0130
2023,単一リーグ,レギュラー,151,2023/8/8,22:00,星の砂 Stardust Collectors,店長倍損の上司,14.5,2,第2試合,34500,P0302
2023,単一リーグ,レギュラー,152,2023/8/8,22:00,関西麻雀保安協会,えりんぼパパ,-12.8,3,第2試合,27200,P0077
2023,単一リーグ,レギュラー,152,2023/8/8,22:00,SILVER WOLVES,上野あいみ,58.1,1,第2試合,38100,P0279
2023,単一リーグ,レギュラー,152,2023/8/8,22:00,さわやかMJ野郎の会,黒太郎@SMY会,8,2,第2試合,28000,P0260
2023,単一リーグ,レギュラー,152,2023/8/8,22:00,レッドリボン軍,TOSH,-53.3,4,第2試合,6700,P0058
2023,単一リーグ,レギュラー,153,2023/8/10,21:00,たちこまーず,かぴ,-20.8,3,第1試合,19200,P0092
2023,単一リーグ,レギュラー,153,2023/8/10,21:00,SSブルーバーズ,おむ,60.5,1,第1試合,40500,P0086
2023,単一リーグ,レギュラー,153,2023/8/10,21:00,関西麻雀保安協会,玉緒,-43.4,4,第1試合,16600,P0251
2023,単一リーグ,レギュラー,153,2023/8/10,21:00,SILVER WOLVES,松崎真也＠協会,3.7,2,第1試合,23700,P0276
2023,単一リーグ,レギュラー,154,2023/8/10,21:00,最強位ズ,ねこます,78.1,1,第1試合,58100,P0155
2023,単一リーグ,レギュラー,154,2023/8/10,21:00,星の砂 Stardust Collectors,店長倍損の上司,-59.4,4,第1試合,600,P0302
2023,単一リーグ,レギュラー,154,2023/8/10,21:00,TEAMS Rabbit_Yohan,ま〜ぢゃん,4.3,2,第1試合,24300,P0183
2023,単一リーグ,レギュラー,154,2023/8/10,21:00,クレイジーダイヤモンド,クピドの悪戯,-23,3,第1試合,17000,P0099
2023,単一リーグ,レギュラー,155,2023/8/10,22:00,たちこまーず,よつば@tobi89,16.7,2,第2試合,36700,P0211
2023,単一リーグ,レギュラー,155,2023/8/10,22:00,SSブルーバーズ,＠みち,-10.3,3,第2試合,29700,P0004
2023,単一リーグ,レギュラー,155,2023/8/10,22:00,関西麻雀保安協会,玉緒,-65.2,4,第2試合,-5200,P0251
2023,単一リーグ,レギュラー,155,2023/8/10,22:00,SILVER WOLVES,あいだなつ,58.8,1,第2試合,38800,P0066
2023,単一リーグ,レギュラー,156,2023/8/10,22:00,最強位ズ,Hiromu,18.4,2,第2試合,38400,P0030
2023,単一リーグ,レギュラー,156,2023/8/10,22:00,星の砂 Stardust Collectors,全速ゆーへい,63.8,1,第2試合,43800,P0291
2023,単一リーグ,レギュラー,156,2023/8/10,22:00,TEAMS Rabbit_Yohan,w11ヨハン,-28.4,3,第2試合,11600,P0062
2023,単一リーグ,レギュラー,156,2023/8/10,22:00,クレイジーダイヤモンド,アスラン,-53.8,4,第2試合,6200,P0068
2023,単一リーグ,レギュラー,157,2023/8/17,21:00,たちこまーず,たちこま,-48.8,4,第1試合,11200,P0134
